Time (ms),Voltage (mV)
-52.202640690280816,24.26741954484711
-51.88816695118277,-6.929665738601333
-51.57369321208466,-37.447079587635685
-51.259219472986615,-64.2916308112181
-50.94474573388851,-84.83036778878471
-50.63027199479046,-97.04882209583499
-50.31579825569236,-99.74859042137325
-50.00132451659431,-92.66487566267584
-49.686850777496204,-76.49245860032586
-49.372377038398156,-52.81755281481478
-49.05790329930005,-23.96222661100954
-48.743429560202,7.243348731340796
-48.4289558211039,37.73848616688565
-48.11448208200585,64.5321794067861
-47.800008342907745,84.9964650535795
-47.4855346038097,97.12417697477905
-47.17106086471159,99.72581200116795
-46.856587125613544,92.54619808305013
-46.54211338651544,76.28952192644597
-46.22763964741739,52.55026136319976
-45.913165908319286,23.656796705964204
-45.59869216922124,-7.556960091960048
-45.28421843012313,-38.02951953646728
-44.969744691025085,-64.77208982007075
-44.65527095192698,-85.16172175729847
-44.34079721282893,-97.19857135727617
-44.02632347373083,-99.70204735599708
-43.71184973463278,-92.4266052802822
-43.397375995534674,-76.08583079762981
-43.082902256436626,-52.282450222863574
-42.76842851733852,-23.351132850218953
-42.453954778240416,7.870496719047511
-42.13948103914237,38.320176818245315
-41.82500730004426,65.01135967851464
-41.510533560946214,85.32613626565771
-41.19605982184811,97.27200450761447
-40.88158608275006,99.67729672087786
-40.56711234365196,92.30609843706675
-40.25263860455391,75.88138722825335
-39.9381648654558,52.01412204228354
