Time (ms),Voltage (mV)
-72.95790747075807,-52.57600901110071
-72.64343373165991,-76.30908605978239
-72.32895999256175,-92.55765982389606
-72.01448625346359,-99.72804716573805
-71.70001251436543,-97.11696633495953
-71.38553877526726,-84.98051583913437
-71.0710650361691,-64.50905593926527
-70.75659129707094,-37.71045642874009
-70.44211755797278,-7.213161919006728
-70.12764381887462,23.991609732211884
-69.81317007977646,52.84325030671785
-69.4986963406783,76.51195001651433
-69.18422260158013,92.67624925742464
-68.86974886248197,99.75073065639114
-68.55527512338375,97.04151905383182
-68.24080138428559,84.81433776246116
-67.92632764518743,64.26844604826763
-67.61185390608927,37.41901408245189
-67.2973801669911,6.899472195702229
-66.98290642789294,-24.296779699997924
-66.66843268879478,-53.10996901614373
-66.35395894969656,-76.7140573186443
-66.0394852105984,-92.79392218169122
-65.72501147150024,-99.77242767564918
-65.41053773240208,-96.96511209369096
-65.09606399330391,-84.64732092583495
-64.78159025420575,-64.02720058314172
-64.46711651510759,-37.12720168587123
-64.15264277600943,-6.585714240998093
-63.83816903691127,24.601709388058417
-63.523695297813106,53.376162501694814
-63.209221558714944,76.91540596744476
-62.89474781961678,92.91067743297673
-62.58027408051862,99.79313800894087
-62.26580034142046,96.88774621015472
-61.95132660232224,84.47946698094616
-61.63685286322408,63.78532192965203
-61.322379124125916,36.835022124837444
-61.007905385027755,6.271891157761293
