Time (ms),Voltage (mV)
283.0263651882738,-26.338512455955954
283.3408389273719,4.792581708943897
283.65531266646997,35.45361266912337
283.9697864055681,62.63730306381051
284.2842601446661,83.67743802198822
284.5987338837642,96.51037129479131
284.9132076228623,99.8774306035874
285.2276813619604,93.44837000051945
285.5421551010584,77.8537608589989
285.85662884015653,54.623144539924205
286.1711025792546,26.035012807787894
286.4855763183527,-5.106669870054874
286.80005005745073,-35.74748313129791
287.11452379654884,-62.88213259572778
287.4289975356469,-83.8492133962541
287.743471274745,-96.59224453930591
288.05794501384304,-99.861371474521
288.37241875294114,-93.33595360000531
288.6868924920392,-77.65601314688446
289.0013662311373,-54.3594608920062
289.31583997023534,-25.73125568987258
289.63031370933345,5.420707529443019
289.9447874484315,36.04100007356007
290.2592611875296,63.12634026327704
290.57373492662765,84.02015955503465
290.88820866572576,96.67316254784765
291.2026824048238,99.84432477989185
291.5171561439219,93.2226141661683
291.83162988301996,77.45749746610316
292.14610362211806,54.09523966353233
292.46057736121617,25.42724410616956
292.7750511003142,-5.734691581475262
293.0895248394123,-36.334160593218925
293.40399857851037,-63.369923651399475
293.7184723176085,-84.190274807784
294.0329460567065,-96.75312452018878
294.3474197958046,-99.82629068828064
294.6618935349027,-93.10835281986346
294.9763672740008,-77.25821577984544
295.2908410130988,-53.830483467482836
295.60531475219693,-25.122981063171373
295.919788491295,6.048618921048673
296.2342622303931,36.62696179109248
296.54873596949113,63.61288035121005
296.86320970858924,84.35955747216411
297.1776834476873,96.83212966555618
297.4921571867854,99.80726937803374
297.80663092588344,92.99317069106296
298.12110466498154,77.05817005888787
298.4355784040796,53.56519492212837
298.7500521431777,24.818469569840847
299.06452588227575,-6.362486443621172
299.37899962137385,-36.91940077156807
299.6934733604719,-63.855207960021254
300.00794709957,-84.52800587408002
300.32242083866805,-96.91017720263912
300.63689457776616,-99.78726103725951
300.9513683168642,-92.87706891884491
301.2658420559623,-76.85736228155201
301.58031579506036,-53.29937665100422
301.89478953415846,-24.513712637603312
302.20926327325657,6.676291045247906
302.5237370123546,37.21147464260986
302.8382107514527,64.09690408137124
303.15268449055077,84.69561834768398
303.4671582296489,96.98726635959837
303.7816319687469,99.76626586382773
304.096105707845,92.76004865138005
304.4105794469431,76.6557944336993
304.7250531860412,53.03303128287952
305.0395269251392,24.208713280311354
305.35400066423733,-6.990029622589253
305.6684744033354,-37.50318051579269
305.9829481424335,-64.33796632503008
306.29742188153153,-84.86239323539503
306.61189562062964,-97.06339637406833
306.9263693597277,-99.74428406536734
307.2408430988258,-92.64211104592871
307.55531683792384,-76.45346850870777
307.86979057702194,-52.76616145175047
308.18426431612,-23.903474514214963
308.4987380552181,7.303699072975545
308.81321179431615,37.79451550633068
309.12768553341425,64.57839230704961
309.4421592725123,85.02832888791542
309.7566330116104,97.13856649317293
310.07110675070845,99.72131585926437
310.38558048980656,92.52325726881683
310.7000542289046,76.25038650745236
311.0145279680027,52.498769796785474
311.32900170710076,23.597999357931744
311.64347544619886,-7.617296294415063
311.95794918529697,-38.085476733111
312.272422924395,-64.81817964976952
312.5868966634931,-85.19342366424986
312.90137040259117,-97.21277597352737
313.2158441416893,-99.69736147265937
313.5303178807873,-92.40348849543284
313.8447916198854,-76.04655043828146
314.1592653589835,-52.230858962318216
